date,firstDose.daily.sinovac,firstDose.daily.biontech,firstDose.daily.total,firstDose.cumulative.sinovac,firstDose.cumulative.biontech,firstDose.cumulative.total,secondDose.daily.sinovac,secondDose.daily.biontech,secondDose.daily.total,secondDose.cumulative.sinovac,secondDose.cumulative.biontech,secondDose.cumulative.total,firstDose.movingAvg.sinovac,firstDose.movingAvg.total,firstDose.movingAvg.biontech,secondDose.movingAvg.sinovac,secondDose.movingAvg.total,secondDose.movingAvg.biontech,totalDose
18/4/2021,3583,18987,22570,375582,344362,719944,10380,882,11262,223088,148116,371204,3850,20143,16293,10916,16468,5552,1091148
19/4/2021,4977,16518,21495,380559,360880,741439,10270,714,10984,233358,148830,382188,4111,20558,16447,11027,14503,3476,1123627
20/4/2021,4627,12675,17302,385186,373555,758741,8556,239,8795,241914,149069,390983,4235,20477,16242,10897,12494,1597,1149724
21/4/2021,3898,11326,15224,389084,384881,773965,8072,163,8235,249986,149232,399218,4233,20229,15996,10368,11497,1129,1173183
22/4/2021,3834,11558,15392,392918,396439,789357,7997,168,8165,257983,149400,407383,4211,20050,15839,9896,10756,860,1196740
23/4/2021,4332,13127,17459,397250,409566,806816,8645,174,8819,266628,149574,416202,4181,19274,15093,9428,10034,606,1223018
24/4/2021,4500,17028,21528,401750,426594,828344,8518,142,8660,275146,149716,424862,4250,18710,14460,8920,9274,355,1253206
25/4/2021,3679,10748,14427,405429,437342,842771,7557,127,7684,282703,149843,432546,4264,17547,13283,8516,8763,247,1275317
26/4/2021,4361,12924,17285,409790,450266,860056,6845,2928,9773,289548,152771,442319,4176,16945,12769,8027,8590,563,1302375
27/4/2021,4335,8131,12466,414125,458397,872522,5313,6914,12227,294861,159685,454546,4134,16254,12120,7564,9080,1517,1327068
28/4/2021,4689,7109,11798,418814,465506,884320,5150,7950,13100,300011,167635,467646,4247,15765,11518,7146,9775,2629,1351966
29/4/2021,4945,7855,12800,423759,473361,897120,4852,8025,12877,304863,175660,480523,4406,15395,10989,6697,10449,3751,1377643
